jra_race_id,netkeiba_race_id,race_date,course,race_no,mapping_status,mapping_note
202402101001,202410020101,2024-02-10,kokura,1,mapped,calendar course=kokura meeting=2 day=1
202402101002,202410020102,2024-02-10,kokura,2,mapped,calendar course=kokura meeting=2 day=1
202402101003,202410020103,2024-02-10,kokura,3,mapped,calendar course=kokura meeting=2 day=1
202402101004,202410020104,2024-02-10,kokura,4,mapped,calendar course=kokura meeting=2 day=1
202402101005,202410020105,2024-02-10,kokura,5,mapped,calendar course=kokura meeting=2 day=1
202402101006,202410020106,2024-02-10,kokura,6,mapped,calendar course=kokura meeting=2 day=1
202402101007,202410020107,2024-02-10,kokura,7,mapped,calendar course=kokura meeting=2 day=1
202402101008,202410020108,2024-02-10,kokura,8,mapped,calendar course=kokura meeting=2 day=1
202402101009,202410020109,2024-02-10,kokura,9,mapped,calendar course=kokura meeting=2 day=1
202402101010,202410020110,2024-02-10,kokura,10,mapped,calendar course=kokura meeting=2 day=1
202402101011,202410020111,2024-02-10,kokura,11,mapped,calendar course=kokura meeting=2 day=1
202402101012,202410020112,2024-02-10,kokura,12,mapped,calendar course=kokura meeting=2 day=1
202402100801,202408020501,2024-02-10,kyoto,1,mapped,calendar course=kyoto meeting=2 day=5
202402100802,202408020502,2024-02-10,kyoto,2,mapped,calendar course=kyoto meeting=2 day=5
202402100803,202408020503,2024-02-10,kyoto,3,mapped,calendar course=kyoto meeting=2 day=5
202402100804,202408020504,2024-02-10,kyoto,4,mapped,calendar course=kyoto meeting=2 day=5
202402100805,202408020505,2024-02-10,kyoto,5,mapped,calendar course=kyoto meeting=2 day=5
202402100806,202408020506,2024-02-10,kyoto,6,mapped,calendar course=kyoto meeting=2 day=5
202402100807,202408020507,2024-02-10,kyoto,7,mapped,calendar course=kyoto meeting=2 day=5
202402100808,202408020508,2024-02-10,kyoto,8,mapped,calendar course=kyoto meeting=2 day=5
202402100809,202408020509,2024-02-10,kyoto,9,mapped,calendar course=kyoto meeting=2 day=5
202402100810,202408020510,2024-02-10,kyoto,10,mapped,calendar course=kyoto meeting=2 day=5
202402100811,202408020511,2024-02-10,kyoto,11,mapped,calendar course=kyoto meeting=2 day=5
202402100812,202408020512,2024-02-10,kyoto,12,mapped,calendar course=kyoto meeting=2 day=5
202402100501,202405010501,2024-02-10,tokyo,1,mapped,calendar course=tokyo meeting=1 day=5
202402100502,202405010502,2024-02-10,tokyo,2,mapped,calendar course=tokyo meeting=1 day=5
202402100503,202405010503,2024-02-10,tokyo,3,mapped,calendar course=tokyo meeting=1 day=5
202402100504,202405010504,2024-02-10,tokyo,4,mapped,calendar course=tokyo meeting=1 day=5
202402100505,202405010505,2024-02-10,tokyo,5,mapped,calendar course=tokyo meeting=1 day=5
202402100506,202405010506,2024-02-10,tokyo,6,mapped,calendar course=tokyo meeting=1 day=5
202402100507,202405010507,2024-02-10,tokyo,7,mapped,calendar course=tokyo meeting=1 day=5
202402100508,202405010508,2024-02-10,tokyo,8,mapped,calendar course=tokyo meeting=1 day=5
202402100509,202405010509,2024-02-10,tokyo,9,mapped,calendar course=tokyo meeting=1 day=5
202402100510,202405010510,2024-02-10,tokyo,10,mapped,calendar course=tokyo meeting=1 day=5
202402100511,202405010511,2024-02-10,tokyo,11,mapped,calendar course=tokyo meeting=1 day=5
202402100512,202405010512,2024-02-10,tokyo,12,mapped,calendar course=tokyo meeting=1 day=5
202402111001,202410020201,2024-02-11,kokura,1,mapped,calendar course=kokura meeting=2 day=2
202402111002,202410020202,2024-02-11,kokura,2,mapped,calendar course=kokura meeting=2 day=2
202402111003,202410020203,2024-02-11,kokura,3,mapped,calendar course=kokura meeting=2 day=2
202402111004,202410020204,2024-02-11,kokura,4,mapped,calendar course=kokura meeting=2 day=2
202402111005,202410020205,2024-02-11,kokura,5,mapped,calendar course=kokura meeting=2 day=2
202402111006,202410020206,2024-02-11,kokura,6,mapped,calendar course=kokura meeting=2 day=2
202402111007,202410020207,2024-02-11,kokura,7,mapped,calendar course=kokura meeting=2 day=2
202402111008,202410020208,2024-02-11,kokura,8,mapped,calendar course=kokura meeting=2 day=2
202402111009,202410020209,2024-02-11,kokura,9,mapped,calendar course=kokura meeting=2 day=2
202402111010,202410020210,2024-02-11,kokura,10,mapped,calendar course=kokura meeting=2 day=2
202402111011,202410020211,2024-02-11,kokura,11,mapped,calendar course=kokura meeting=2 day=2
202402111012,202410020212,2024-02-11,kokura,12,mapped,calendar course=kokura meeting=2 day=2
202402110801,202408020601,2024-02-11,kyoto,1,mapped,calendar course=kyoto meeting=2 day=6
202402110802,202408020602,2024-02-11,kyoto,2,mapped,calendar course=kyoto meeting=2 day=6
202402110803,202408020603,2024-02-11,kyoto,3,mapped,calendar course=kyoto meeting=2 day=6
202402110804,202408020604,2024-02-11,kyoto,4,mapped,calendar course=kyoto meeting=2 day=6
202402110805,202408020605,2024-02-11,kyoto,5,mapped,calendar course=kyoto meeting=2 day=6
202402110806,202408020606,2024-02-11,kyoto,6,mapped,calendar course=kyoto meeting=2 day=6
202402110807,202408020607,2024-02-11,kyoto,7,mapped,calendar course=kyoto meeting=2 day=6
202402110808,202408020608,2024-02-11,kyoto,8,mapped,calendar course=kyoto meeting=2 day=6
202402110809,202408020609,2024-02-11,kyoto,9,mapped,calendar course=kyoto meeting=2 day=6
202402110810,202408020610,2024-02-11,kyoto,10,mapped,calendar course=kyoto meeting=2 day=6
202402110811,202408020611,2024-02-11,kyoto,11,mapped,calendar course=kyoto meeting=2 day=6
202402110812,202408020612,2024-02-11,kyoto,12,mapped,calendar course=kyoto meeting=2 day=6
202402110501,202405010601,2024-02-11,tokyo,1,mapped,calendar course=tokyo meeting=1 day=6
202402110502,202405010602,2024-02-11,tokyo,2,mapped,calendar course=tokyo meeting=1 day=6
202402110503,202405010603,2024-02-11,tokyo,3,mapped,calendar course=tokyo meeting=1 day=6
202402110504,202405010604,2024-02-11,tokyo,4,mapped,calendar course=tokyo meeting=1 day=6
202402110505,202405010605,2024-02-11,tokyo,5,mapped,calendar course=tokyo meeting=1 day=6
202402110506,202405010606,2024-02-11,tokyo,6,mapped,calendar course=tokyo meeting=1 day=6
202402110507,202405010607,2024-02-11,tokyo,7,mapped,calendar course=tokyo meeting=1 day=6
202402110508,202405010608,2024-02-11,tokyo,8,mapped,calendar course=tokyo meeting=1 day=6
202402110509,202405010609,2024-02-11,tokyo,9,mapped,calendar course=tokyo meeting=1 day=6
202402110510,202405010610,2024-02-11,tokyo,10,mapped,calendar course=tokyo meeting=1 day=6
202402110511,202405010611,2024-02-11,tokyo,11,mapped,calendar course=tokyo meeting=1 day=6
202402110512,202405010612,2024-02-11,tokyo,12,mapped,calendar course=tokyo meeting=1 day=6
202402171001,202410020301,2024-02-17,kokura,1,mapped,calendar course=kokura meeting=2 day=3
202402171002,202410020302,2024-02-17,kokura,2,mapped,calendar course=kokura meeting=2 day=3
202402171003,202410020303,2024-02-17,kokura,3,mapped,calendar course=kokura meeting=2 day=3
202402171004,202410020304,2024-02-17,kokura,4,mapped,calendar course=kokura meeting=2 day=3
202402171005,202410020305,2024-02-17,kokura,5,mapped,calendar course=kokura meeting=2 day=3
202402171006,202410020306,2024-02-17,kokura,6,mapped,calendar course=kokura meeting=2 day=3
202402171007,202410020307,2024-02-17,kokura,7,mapped,calendar course=kokura meeting=2 day=3
202402171008,202410020308,2024-02-17,kokura,8,mapped,calendar course=kokura meeting=2 day=3
202402171009,202410020309,2024-02-17,kokura,9,mapped,calendar course=kokura meeting=2 day=3
